date,show,score,music,visual,ge,perc,brass,guard
2024-07-08,Drums Across The Smokies,69.95,20.5,21.35,28.1,14.1,13.3,13.7
2024-07-09,Drums Across America,71.25,21.5,21.35,28.4,15.5,13.8,13.9
2024-07-11,DCI Northern Alabama,72.3,21.55,21.55,29.2,14.3,14.3,14.3
2024-07-13,DCI Little Rock,73.1,22.25,21.65,29.2,15.5,14.5,14.3
2024-07-16,DCI Abilene,73.5,22.1,22.0,29.4,14.9,14.6,14.6
2024-07-18,DCI Denton,74.95,22.45,22.2,30.3,14.8,15.1,14.6
2024-07-20,DCI Southwestern Championship,74.35,22.35,21.9,30.1,15.2,14.4,14.2
2024-07-22,DCI Mesquite,75.8,22.4,22.2,31.2,15.3,14.7,14.5
2024-07-26,The Masters Of The Summer Music Games,77.9,23.35,22.95,31.6,15.4,15.3,15.4
