date,show,score
2024-06-28,Corps At The Crest Student Edition,72.65
2024-06-29,Corps At The Crest,72.35
2024-06-30,Western Corps Connection,73.55
2024-07-05,Midcal Champions Showcase,75.9
2024-07-06,DCI West,76.1
2024-07-07,DCI Capital Classic,77.5
2024-07-10,Corps Encore,79.65
2024-07-13,Drums Along The Rockies,82.0
2024-07-15,West Texas Drums,83.25
2024-07-18,DCI Denton,84.3
2024-07-20,DCI Southwestern Championship,87.525
2024-07-23,DCI Mckinney,89.4
2024-07-24,DCI Monroe,89.825
