date,show,score,music,visual,ge,perc,brass,guard
2024-07-12,Drums Along The Rockies Cheyenne Edition,67.95,20.5,21.15,26.3,14.1,13.4,14.3
2024-07-13,Drums Along The Rockies,67.95,20.4,20.85,26.7,13.9,12.5,13.8
2024-07-15,West Texas Drums,68.2,20.4,20.8,27.0,13.8,12.7,14.4
2024-07-16,DCI Abilene,69.35,21.0,20.55,27.8,14.3,14.1,13.9
2024-07-18,DCI Waco,70.3,20.65,21.05,28.6,12.5,14.6,14.2
2024-07-20,DCI Southwestern Championship,70.225,21.075,20.95,28.2,14.3,14.1,14.5
2024-07-23,DCI Mckinney,70.1,21.25,20.85,28.0,14.7,14.2,13.7
2024-07-24,DCI Monroe,71.7,21.45,21.25,29.0,14.3,14.5,14.0
2024-07-27,DCI Southeastern Championship,73.75,22.6,22.45,28.7,15.6,15.0,14.5
