date,show,score
2024-07-13,Drum Corps Grand Prix,63.8
2024-07-18,DCI Waco,65.4
2024-07-20,DCI Southwestern Championship,68.875
2024-07-22,DCI Mesquite,69.05
2024-07-23,DCI Mckinney,69.0
2024-07-24,DCI Monroe,69.95
2024-07-26,DCI Birmingham,71.55
