date,show,score
2024-06-26,Midwest Premiere,73.0
2024-06-28,DCI Central Indiana,74.7
2024-06-30,Cavalcade Of Brass,76.6
2024-07-02,Summer Music Games In Cincinnati,78.45
2024-07-09,Drums Across America,84.9
2024-07-11,DCI Northern Alabama,86.05
2024-07-13,DCI Little Rock,86.15
2024-07-16,DCI Broken Arrow,88.25
2024-07-18,DCI Denton,89.65
2024-07-20,DCI Southwestern Championship,91.85
2024-07-26,The Masters Of The Summer Music Games,93.35
