date,show,score,music,visual,ge,perc,brass,guard
2024-07-08,Drums Across The Smokies,71.2,20.95,21.45,28.8,14.4,14.1,14.2
2024-07-09,Drums Across America,72.2,21.6,21.6,29.0,15.4,14.6,14.3
2024-07-11,DCI Northern Alabama,72.75,22.1,21.55,29.1,14.5,14.9,14.6
2024-07-13,DCI Little Rock,75.25,22.9,22.25,30.1,16.0,15.0,14.6
2024-07-18,DCI Waco,77.4,23.45,23.25,30.7,15.4,15.7,15.4
2024-07-20,DCI Southwestern Championship,77.35,23.75,22.85,30.75,16.0,16.1,15.2
2024-07-26,DCI Birmingham,81.0,24.5,24.3,32.2,16.5,16.5,15.8
2024-07-27,DCI Southeastern Championship,80.8,24.35,24.35,32.1,16.8,16.0,16.1
