date,show,score
2024-07-05,Northwest Youth Music Games Portland,71.45
2024-07-06,Northwest Youth Music Games Seattle,72.9
2024-07-08,Drums Along The Columbia,75.75
2024-07-09,Northwest Youth Music Games Boise,75.2
2024-07-10,Corps Encore,76.65
2024-07-12,Drums Along The Rockies Cheyenne Edition,78.4
2024-07-13,Drums Along The Rockies,77.75
2024-07-15,Brass Impact,79.1
2024-07-20,DCI Southwestern Championship,81.875
